strategy,final_value,total_return,cagr,sharpe,max_drawdown
Moving Average,984348.4756708145,8.843484756708145,2.1589877090988123,1.955825470891236,-0.3895017739127745
Exponential Smoothing,848920.4934444427,7.489204934444427,1.932341507534769,1.6339285697515833,-0.40200869217097646
"ARIMA (1,1,1) Long-Only",305036.66250371933,2.0503666250371935,0.7523714787932503,1.1367962840091694,-0.5361367943667936
Buy & Hold,566009.8576631546,4.660098576631546,1.3914756405770041,1.3697462729862113,-0.47424598356678693
