Date,BMNR,BE,OKLO,IREN,SNDK
2024-01-02,,14.760000228881836,10.600000381469727,6.800000190734863,
2024-01-03,,14.020000457763672,10.649999618530273,6.539999961853027,
2024-01-04,,13.90999984741211,10.649999618530273,6.739999771118164,
2024-01-05,,13.770000457763672,10.65999984741211,6.190000057220459,
2024-01-08,,13.890000343322754,10.640000343322754,6.420000076293945,
2024-01-09,,13.319999694824219,10.645000457763672,6.079999923706055,
2024-01-10,,13.470000267028809,10.619999885559082,6.449999809265137,
2024-01-11,,12.970000267028809,10.640000343322754,6.039999961853027,
2024-01-12,,12.729999542236328,10.640000343322754,5.150000095367432,
2024-01-16,,11.850000381469727,10.619999885559082,4.809999942779541,
2024-01-17,,11.260000228881836,10.619999885559082,4.710000038146973,
2024-01-18,,11.270000457763672,10.635000228881836,4.329999923706055,
2024-01-19,,11.399999618530273,10.630000114440918,4.320000171661377,
2024-01-22,,12.0600004196167,10.649999618530273,4.300000190734863,
2024-01-23,,11.930000305175781,10.779999732971191,4.150000095367432,
2024-01-24,,11.869999885559082,10.789999961853027,4.0,
2024-01-25,,12.470000267028809,10.779999732971191,4.059999942779541,
2024-01-26,,12.470000267028809,10.75,4.269999980926514,
2024-01-29,,11.899999618530273,11.260000228881836,4.480000019073486,
2024-01-30,,11.359999656677246,11.220000267028809,4.329999923706055,
2024-01-31,,11.319999694824219,11.119999885559082,3.9200000762939453,
2024-02-01,,12.010000228881836,11.149999618530273,3.75,
2024-02-02,,11.600000381469727,10.630000114440918,3.7899999618530273,
2024-02-05,,11.029999732971191,10.640000343322754,3.6500000953674316,
2024-02-06,,11.3100004196167,10.65999984741211,3.8399999141693115,
2024-02-07,,11.300000190734863,10.630000114440918,4.119999885559082,
2024-02-08,,11.520000457763672,10.609999656677246,5.099999904632568,
2024-02-09,,11.529999732971191,10.609999656677246,5.940000057220459,
2024-02-12,,12.319999694824219,10.65999984741211,6.929999828338623,
2024-02-13,,11.25,10.630000114440918,6.920000076293945,
2024-02-14,,11.710000038146973,10.630000114440918,8.300000190734863,
2024-02-15,,11.970000267028809,10.65999984741211,7.739999771118164,
2024-02-16,,9.880000114440918,10.630000114440918,6.809999942779541,
2024-02-20,,8.920000076293945,10.630000114440918,6.869999885559082,
2024-02-21,,8.960000038146973,10.640000343322754,6.639999866485596,
2024-02-22,,8.600000381469727,10.619999885559082,6.630000114440918,
2024-02-23,,8.579999923706055,10.640000343322754,6.179999828338623,
2024-02-26,,8.699999809265137,10.640000343322754,6.909999847412109,
2024-02-27,,9.319999694824219,10.640000343322754,6.769999980926514,
2024-02-28,,8.989999771118164,10.649999618530273,6.050000190734863,
2024-02-29,,8.770000457763672,10.640000343322754,5.900000095367432,
2024-03-01,,9.079999923706055,10.630000114440918,5.989999771118164,
2024-03-04,,9.029999732971191,10.649999618530273,5.699999809265137,
2024-03-05,,9.119999885559082,10.680000305175781,5.090000152587891,
2024-03-06,,9.539999961853027,10.729999542236328,5.400000095367432,
2024-03-07,,10.4399995803833,10.739999771118164,5.360000133514404,
2024-03-08,,10.3100004196167,10.760000228881836,5.349999904632568,
2024-03-11,,10.460000038146973,10.800000190734863,5.079999923706055,
2024-03-12,,10.300000190734863,10.789999961853027,4.929999828338623,
2024-03-13,,10.029999732971191,10.789999961853027,4.900000095367432,
2024-03-14,,9.029999732971191,10.800000190734863,4.559999942779541,
2024-03-15,,9.260000228881836,10.739999771118164,4.599999904632568,
2024-03-18,,9.779999732971191,10.890000343322754,4.610000133514404,
2024-03-19,,9.470000267028809,10.850000381469727,4.489999771118164,
2024-03-20,,9.59000015258789,10.829999923706055,5.670000076293945,
2024-03-21,,9.819999694824219,10.739999771118164,5.650000095367432,
2024-03-22,,9.869999885559082,10.800000190734863,5.050000190734863,
2024-03-25,,10.039999961853027,10.850000381469727,5.579999923706055,
2024-03-26,,10.800000190734863,11.050000190734863,5.690000057220459,
2024-03-27,,11.029999732971191,11.149999618530273,5.369999885559082,
2024-03-28,,11.239999771118164,11.420000076293945,5.400000095367432,
2024-04-01,,11.729999542236328,12.180000305175781,6.46999979019165,
2024-04-02,,11.75,12.600000381469727,5.889999866485596,
2024-04-03,,11.710000038146973,12.869999885559082,5.559999942779541,
2024-04-04,,11.789999961853027,12.899999618530273,5.760000228881836,
2024-04-05,,11.6899995803833,13.100000381469727,5.599999904632568,
2024-04-08,,11.670000076293945,16.049999237060547,5.409999847412109,
2024-04-09,,11.880000114440918,14.15999984741211,5.010000228881836,
2024-04-10,,11.420000076293945,13.170000076293945,4.900000095367432,
2024-04-11,,11.380000114440918,13.40999984741211,4.96999979019165,
2024-04-12,,10.739999771118164,12.760000228881836,4.650000095367432,
2024-04-15,,10.239999771118164,12.5,4.329999923706055,
2024-04-16,,9.880000114440918,12.720000267028809,4.349999904632568,
2024-04-17,,9.800000190734863,12.699999809265137,4.5,
2024-04-18,,9.75,12.670000076293945,4.679999828338623,
2024-04-19,,9.630000114440918,12.5,4.949999809265137,
2024-04-22,,9.319999694824219,12.579999923706055,5.510000228881836,
2024-04-23,,9.829999923706055,13.0,5.579999923706055,
2024-04-24,,9.640000343322754,13.399999618530273,5.25,
2024-04-25,,9.550000190734863,13.0,5.170000076293945,
2024-04-26,,10.600000381469727,12.8100004196167,5.079999923706055,
2024-04-29,,10.989999771118164,14.420000076293945,4.690000057220459,
2024-04-30,,11.130000114440918,13.739999771118164,4.340000152587891,
2024-05-01,,11.3100004196167,13.9399995803833,4.329999923706055,
2024-05-02,,11.4399995803833,12.8100004196167,4.570000171661377,
