strategy,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor
Baseline,0.36605227012587593,0.10297530893699647,0.6445222191486044,-14.64577860953748,0.5311720698254364,1.1501700417269116
LSTM,0.6806919536104583,0.1772037286424244,0.819520837989784,-25.32404233336581,0.4912718204488778,1.18343304771109
RL_Agent,3.2530693784584805,0.5759680499072264,1.7398782634820773,-27.891310825917117,0.5249376558603491,1.3937041938242414
