date,portfolio_value,capital,positions_value,num_positions,CCI_shares,CCI_value,NFLX_shares,NFLX_value,MO_shares,MO_value,O_shares,O_value,NKE_shares,NKE_value,BKNG_shares,BKNG_value,AMT_shares,AMT_value,TMO_shares,TMO_value,AEP_shares,AEP_value,ECL_shares,ECL_value,TXN_shares,TXN_value,PLD_shares,PLD_value,HON_shares,HON_value,ABT_shares,ABT_value,ABBV_shares,ABBV_value,MPC_shares,MPC_value,ORCL_shares,ORCL_value,SO_shares,SO_value,ADBE_shares,ADBE_value,AMZN_shares,AMZN_value,WELL_shares,WELL_value,EQIX_shares,EQIX_value,FCX_shares,FCX_value,T_shares,T_value,KO_shares,KO_value,AVGO_shares,AVGO_value,COP_shares,COP_value,CVX_shares,CVX_value,DVN_shares,DVN_value,PCG_shares,PCG_value,AMGN_shares,AMGN_value,META_shares,META_value,PG_shares,PG_value,MSFT_shares,MSFT_value,daily_returns,cumulative_returns,drawdown
2022-10-18,100000.0,100000.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2022-10-19,100000.0,100000.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-10-20,100000.0,100000.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-10-21,100000.0,100000.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-10-24,100000.0,100000.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-10-25,100000.0,90021.43869488526,9978.561305114737,1,94.0,9968.592712402344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-10-26,100138.26112835694,90021.43869488526,10116.82243347168,1,94.0,10116.82243347168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013826112835693127,0.0013826112835693127,0.0
2022-10-27,100113.82092755128,90021.43869488526,10092.382232666016,1,94.0,10092.382232666016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00024406456163983403,0.0011382092755127804,-0.024406456163979802
2022-10-28,100468.63090985108,90021.43869488526,10447.19221496582,1,94.0,10447.19221496582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003544065934278695,0.004686309098510755,0.0
2022-10-31,100528.5527543335,90021.43869488526,10507.114059448242,1,94.0,10507.114059448242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005964234203230667,0.005285527543335,0.0
2022-11-01,100449.70569317628,90021.43869488526,10428.266998291016,1,94.0,10428.266998291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007843250399706125,0.004497056931762833,-0.07843250399705738
2022-11-02,100180.05165570069,90021.43869488526,10158.61296081543,1,94.0,10158.61296081543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0026844681685702643,0.0018005165570069703,-0.3466687712937254
2022-11-03,100217.89778607179,90021.43869488526,10196.459091186523,1,94.0,10196.459091186523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003777811025809097,0.0021789778607179677,-0.30902162594629345
2022-11-04,100275.45657818604,90021.43869488526,10254.017883300781,1,94.0,10254.017883300781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005743364547230456,0.0027545657818603964,-0.2517654628590589
2022-11-07,100258.89799969483,90021.43869488526,10237.45930480957,1,94.0,10237.45930480957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001651309209278473,0.002588979996948293,-0.2682369806890986
2022-11-08,100257.32239239503,90021.43869488526,10235.883697509766,1,94.0,10235.883697509766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.571538617761714e-05,0.0025732239239502075,-0.26980430385911885
2022-11-09,100086.22305767823,90021.43869488526,10064.784362792969,1,94.0,10064.784362792969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017066018783858938,0.0008622305767822525,-0.44000404316594105
